Generation,MaxFitness,MinFitness,AveFitness,SuccessfulAgents
1,1.145758,1,1.030239,0
2,1.271168,1,1.0761,0
3,1.605293,1.003552,1.111914,0
4,8.758704,1.009035,1.45063,0
5,29.07974,1.009253,8.653097,0
6,41.50566,1.009253,23.71088,2
7,45.42346,1.338187,26.71493,3
8,45.42346,1.072357,22.84648,5
9,58.79002,1.318253,33.18508,8
10,58.79002,1.266237,35.16842,2
11,58.79002,1.265873,44.60181,0
12,58.79002,1.012722,45.35231,1
13,58.79002,1.062282,49.38198,0
14,58.79002,1.028074,46.5969,1
15,58.79002,1.015097,36.29322,1
16,58.79002,1.132772,48.28891,3
17,58.79002,1.274661,44.60098,1
18,58.79002,1.148307,47.99991,1
19,58.79002,1.257068,40.74237,3
20,66.26354,1.147665,52.21381,5
21,66.26354,1.271193,50.81015,5
22,66.26354,1.143584,34.50347,3
23,66.26354,1.011807,33.99115,6
24,66.26354,1.252647,33.91136,6
25,66.26354,1.470559,53.04465,6
26,66.26354,1.008875,43.57878,3
27,66.26354,1.047566,44.05867,1
28,66.26354,1.047566,36.25979,0
29,66.26354,1.012446,38.5299,0
30,66.26354,1.021446,46.14146,5
