Generation,Name,Gene0,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15
1,Patrick Rosenblatt ,-0.02234703,-0.4342896,0.6421384,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,0.101527,0.4912524,-0.5341147,0.6834527,0.6619344,-0.1403965,0.3094462,-0.6859149
1,Patrick Searle ,-0.3361783,-0.8256673,-0.1073081,0.8002129,0.3629727,-0.06894636,0.6315777,0.5149738,0.1566836,0.963581,-0.3696597,0.8313637,0.3923637,0.1642123,-0.2828751,-0.6877423
1,Patrick MinskyIII,-0.5083556,0.5902865,-0.2926124,0.1397759,0.3050845,0.1673858,0.5013503,0.1425362,-0.4716685,0.0701896,-0.4741704,0.2616349,0.8426554,-0.4854497,0.2898322,-0.2405774
1,Patrick KruskalII,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
1,Marvin RosenblattIII,-0.4520899,0.5595524,-0.2007166,-0.9144593,-0.8652176,0.9234917,0.5168432,0.293504,0.7519014,0.5156138,0.06635106,-0.4734722,-0.3828349,-0.9371105,0.5380861,-0.5663292
1,Joseph Rosenblatt ,0.06831193,-0.8044007,0.08880723,-0.6405764,-0.8387183,0.3760179,0.2357491,-0.3048258,0.2984521,0.4410655,-0.8424256,0.2909278,0.6758273,-0.1578301,0.06326759,-0.1780723
1,Patrick Minsky ,-0.2624078,0.4624028,-0.2675722,0.5386696,0.811288,0.5581994,-0.1363297,-0.3600678,-0.5423834,0.8062358,-0.2075114,-0.8940483,-0.9545493,0.5011979,0.5996647,0.02906048
1,Patrick Kruskal ,-0.1257287,-0.3318064,0.02964115,0.6773506,0.5124934,-0.09604686,-0.1144281,0.6264035,0.4066383,0.1995269,-0.8536747,0.423595,-0.363042,-0.9620703,-0.01407194,-0.9353701
1,John Rosenblatt ,0.6512982,0.521021,-0.6729995,0.211025,-0.8143116,0.8463277,0.6964335,0.9253173,-0.128925,0.7080656,0.4112027,-0.5067618,0.06594682,-0.842344,0.3927093,0.1636255
1,John de Vries ,0.3809714,-0.2463009,-0.3662971,0.9116637,0.7926589,0.6454136,-0.07728314,0.357432,0.4418603,0.9326545,-0.1165625,0.7756995,0.3353752,-0.6061084,0.5268095,0.6626319
