Generation,MaxFitness,MinFitness,AveFitness,SuccessfulAgents
1,164.7168,16.43972,76.22143,6
2,167.8601,18.12622,93.95657,9
3,165.0499,12.33789,127.8202,14
4,170.1309,12.27985,117.502,13
5,165.0499,22.40689,137.371,15
6,173.7774,13.6635,141.4361,16
7,173.7774,74.14536,150.7978,18
8,173.7896,17.4377,128.4975,14
9,173.7896,3.462252,110.4648,11
10,171.4852,24.02549,118.7066,12
11,165.0499,19.15672,110.4313,11
12,163.3016,18.3815,110.5843,13
13,165.6859,19.15672,107.625,11
14,165.6859,24.34999,116.816,11
15,165.6859,68.33025,147.3168,17
16,165.6859,72.24944,148.2336,17
17,165.6859,25.59781,138.1462,16
18,165.6859,42.55069,153.8117,19
19,165.7813,12.5112,146.7428,18
20,167.4229,138.1471,158.5868,20
21,166.3107,138.1471,161.8096,20
22,166.419,154.0911,164.0106,20
23,165.6859,162.8525,164.5385,20
24,166.0693,83.84412,160.5421,19
25,165.7149,125.84,162.4482,20
