Generation,Name,Gene0,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15
1,Patrick Minsky ,0.02014613,-0.6952308,0.006233096,0.1425149,0.1966884,0.8484771,0.5488925,0.4662077,0.1828086,-0.2701439,0.3242453,-0.9019338,-0.2865043,0.6321588,-0.2168959,0.4536461
1,Marvin Braitenberg ,-0.8644794,-0.4289883,0.9626294,-0.4792238,-0.5483173,0.9513901,-0.7225876,0.5162885,0.7980943,-0.4659746,-0.3948869,0.2352933,-0.7536925,-0.1572502,-0.6418984,0.07540381
1,Patrick Searle ,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.908625,0.8116992,0.6679435,0.8570812,-0.5363922
1,John Rosenblatt ,0.9333057,0.252288,-0.7960575,0.9762307,-0.6139064,0.3284602,0.3257221,0.5821545,0.2516336,0.2176762,0.05378175,0.334843,-0.6665573,0.2795982,0.5110511,-0.465603
1,Frank Hayes ,0.7444535,-0.4727282,-0.0748083,-0.5033879,0.1434387,-0.47221,-0.1019999,0.9610825,0.06410587,-0.6209868,0.3270649,0.4986256,-0.7741992,-0.005560577,0.8635744,0.7029455
1,Frank HayesIII,-0.04862732,0.2920191,-0.7405016,-0.7615684,0.9858274,0.8021823,-0.2646654,0.4233307,-0.8819762,0.7635616,0.2918049,0.7643005,0.006631732,-0.613732,0.04512525,0.5172831
1,Frank Braitenberg ,-0.3802658,-0.00967598,0.7302871,0.6582942,-0.2317106,0.5038576,-0.4933251,-0.5277922,-0.4625982,0.9613951,0.6021696,-0.2938573,0.1081061,-0.8925951,-0.2034497,-0.9280427
1,Marvin Rosenblatt ,0.7042475,-0.3329501,-0.429378,-0.4629055,-0.8552245,-0.7242258,0.6202747,0.9427336,-0.5401475,0.7297766,0.6565497,0.5938987,-0.5675334,-0.4966029,-0.7336966,0.7617626
1,Ken Braitenberg ,-0.638912,-0.846595,-0.100346,-0.6467764,0.9569328,-0.7145979,-0.8989289,-0.02935666,-0.4327215,-0.0813753,-0.9753423,-0.4176363,0.5111002,-0.8180302,0.6096843,0.04570186
1,Patrick SearleII,0.4489231,0.2359192,0.8801545,-0.2491367,-0.3671857,-0.8348258,0.1421112,0.7765474,0.1648831,-0.4931302,0.9284717,0.8107671,0.7615685,-0.08875102,0.03851473,-0.1786842
1,Marvin RosenblattIV,-0.3715882,0.7783389,-0.4664865,-0.5142743,-0.8963659,0.4395361,-0.1657879,0.6025164,-0.3946148,0.3501322,0.02636886,-0.1353638,0.2258121,-0.01893145,-0.2748645,0.9980549
1,Valentino Minsky ,-0.2423902,-0.3615271,-0.06796145,-0.8305519,0.6247673,0.1327639,-0.3102314,-0.6923496,-0.7460729,0.5038081,0.7829667,-0.7337886,0.759413,0.1341571,-0.8199054,-0.06462115
1,Valentino Hayes ,-0.4530693,0.1380537,-0.4290757,-0.6382495,-0.02764869,-0.3129541,0.4896348,0.2543377,0.1643827,0.6362393,-0.9231446,0.5378536,-0.2354614,0.8927093,0.1351498,0.5134661
1,Joseph Minsky ,-0.0146606,-0.16889,-0.6782299,-0.2345567,0.783323,-0.398707,-0.6474332,-0.5571505,-0.2549792,-0.9816929,0.8032048,0.6779103,0.8703656,-0.8169196,0.4954652,-0.8620995
1,Marvin RosenblattII,0.07534468,-0.9049889,0.2937709,0.7088687,0.7990624,-0.7190831,-0.4509739,-0.1929396,0.2452896,-0.6195251,0.2691425,0.2340065,-0.1023917,-0.05743062,0.182846,-0.4815041
1,Frank BraitenbergII,0.8941238,-0.2627351,0.2460653,0.4546438,-0.872076,0.03757966,0.7386904,-0.4873891,-0.3954875,0.4334463,0.1704149,0.2270766,-0.03884327,-0.9969952,-0.7428523,-0.06488031
1,Frank Minsky ,0.4671057,-0.5343513,0.4611418,-0.3875391,0.3821925,0.436803,-0.7266552,0.4213835,-0.2863547,-0.1227726,-0.2316231,0.7638429,0.7809879,-0.871273,-0.9820748,0.1736598
1,Valentino MinskyII,0.230787,-0.479094,-0.7173661,0.6055892,-0.316929,-0.05558562,-0.4673315,0.2207921,0.3353815,-0.8922848,0.4612339,-0.4914338,-0.4707978,0.1663278,-0.3491001,0.2457454
1,Marvin RosenblattIII,0.2160835,0.9990952,-0.8906138,-0.4661431,0.1608993,-0.2120625,0.7758852,-0.7356732,0.8023844,0.005160689,0.07404876,-0.6504118,0.7253269,0.197481,-0.341208,-0.7746855
1,Frank HayesII,0.02297437,-0.9292839,0.5310458,0.5792576,-0.7278721,0.8210071,-0.06937164,0.6575316,0.6320134,-0.7387912,0.5163783,-0.3436831,0.6719105,0.7318234,0.149688,-0.2517635
2,Patrick Braitenberg ,0.02014613,-0.6952308,0.006233096,0.1425149,0.1966884,0.8484771,0.5488925,0.4662077,0.1828086,-0.2701439,0.3242453,-0.9019338,-0.2865043,0.6321588,-0.2034497,-0.9280427
2,Marvin KruskalII,-0.8644794,-0.4289883,0.9626294,-0.4792238,-0.5483173,0.9513901,-0.7225876,0.5162885,0.7980943,-0.4659746,-0.3948869,-0.909336,-0.7536925,-0.1572502,-0.6418984,0.07540381
2,Marvin Kruskal ,-0.8644794,-0.4289883,0.9626294,-0.4792238,-0.5483173,0.9513901,-0.7225876,0.5162885,0.7980943,-0.4659746,-0.3948869,-0.909336,-0.7536925,-0.1572502,-0.6418984,0.07540381
2,Patrick Searle ,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.06829894,0.8116992,0.6679435,0.8570812,-0.5363922
2,Patrick SearleIII,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.908625,0.8116992,0.6679435,0.8570812,-0.5363922
2,John RosenblattIII,0.9333057,0.252288,-0.7960575,0.9762307,-0.6139064,0.3284602,0.3257221,0.5821545,0.2516336,0.2176762,0.05378175,0.334843,-0.6665573,0.2795982,0.5110511,-0.465603
2,John RosenblattII,0.9333057,0.252288,-0.7960575,0.9762307,-0.6139064,0.3284602,0.3257221,0.5821545,0.2516336,0.2176762,0.05378175,0.334843,-0.6665573,0.2795982,0.5110511,-0.465603
2,John Rosenblatt ,0.9333057,0.252288,-0.7960575,0.9762307,-0.6139064,0.3284602,0.3257221,0.5821545,0.2516336,0.2176762,0.05378175,0.334843,-0.6665573,0.2795982,0.5110511,-0.465603
2,Patrick Rosenblatt ,-0.3715882,0.7783389,-0.4664865,0.9762307,-0.6139064,0.3284602,0.3257221,0.5821545,0.2516336,0.2176762,0.05378175,0.334843,-0.4982657,0.2795982,0.5110511,-0.465603
2,Frank HayesII,-0.04862732,0.2920191,-0.7405016,-0.7615684,0.9858274,0.8021823,-0.2646654,0.4233307,-0.8819762,0.7635616,0.2918049,0.7643005,0.006631732,-0.613732,0.04512525,0.5172831
2,Frank HayesIII,-0.04862732,0.2920191,-0.7405016,-0.7615684,0.9858274,0.8021823,-0.2646654,0.4233307,-0.8819762,0.7635616,0.2918049,0.7643005,0.006631732,-0.613732,0.04512525,0.5172831
2,Frank Braitenberg ,-0.3802658,-0.00967598,0.7302871,0.6582942,-0.2317106,0.5038576,-0.4933251,-0.5277922,-0.4625982,0.9613951,0.6021696,-0.2938573,0.1081061,-0.8925951,-0.2034497,-0.9280427
2,Frank Hayes ,-0.3802658,-0.00967598,0.7302871,0.6582942,-0.2317106,0.5038576,-0.4933251,-0.5277922,-0.4625982,0.9613951,0.6021696,-0.2938573,0.1081061,-0.8925951,-0.2168959,0.4536461
2,Marvin RosenblattIII,0.7042475,-0.3329501,-0.429378,-0.4629055,-0.8552245,-0.7242258,0.6202747,0.9427336,-0.5401475,0.7297766,0.6565497,0.5938987,-0.5675334,-0.4966029,-0.7336966,0.7617626
2,Marvin RosenblattII,0.7042475,-0.3329501,-0.429378,-0.4629055,-0.8552245,-0.7242258,0.6202747,0.9427336,-0.5401475,0.7297766,0.6565497,0.5938987,-0.5675334,-0.4966029,-0.7336966,0.7617626
2,Marvin RosenblattIV,0.9333057,0.252288,-0.7960575,-0.5142743,-0.8963659,0.4395361,-0.1657879,0.6025164,-0.3946148,0.3501322,0.02636886,-0.1353638,0.2258121,-0.01893145,-0.2748645,0.9980549
2,Patrick SearleII,0.4489231,0.2359192,0.8801545,-0.2491367,-0.3671857,-0.8348258,0.1421112,0.7765474,0.1648831,-0.4931302,0.9284717,0.8107671,0.7615685,-0.08875102,0.03851473,-0.1786842
2,Marvin Rosenblatt ,-0.3715882,0.7783389,-0.4664865,-0.5142743,-0.8963659,0.4395361,-0.1657879,0.6025164,-0.3946148,0.3501322,0.02636886,-0.1353638,0.2258121,-0.01893145,-0.2748645,0.9980549
2,Valentino MinskyII,-0.2423902,-0.3615271,-0.06796145,-0.8305519,0.6247673,0.1327639,-0.3102314,-0.6923496,-0.7460729,0.5038081,0.7829667,-0.7337886,0.759413,0.1341571,-0.8199054,-0.06462115
2,Valentino Minsky ,-0.2423902,-0.3615271,-0.06796145,-0.8305519,0.6247673,0.1327639,-0.3102314,-0.6923496,-0.7460729,0.5038081,0.7829667,-0.7337886,0.759413,0.1563017,-0.8199054,-0.06462115
3,Marvin Kruskal ,-0.8644794,-0.4289883,0.9626294,-0.4792238,-0.5483173,0.9513901,-0.7225876,0.5162885,0.7980943,-0.4659746,-0.3948869,-0.909336,-0.7536925,-0.1572502,-0.6418984,0.07540381
3,Frank Kruskal ,-0.8644794,-0.4289883,0.9626294,-0.4792238,-0.5483173,0.9513901,0.006219029,0.5162885,0.7980943,-0.4659746,-0.3948869,-0.909336,-0.7536925,-0.1572502,-0.6418984,0.07540381
3,Patrick Searle ,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.1341413,-0.2001712,0.9257029,-0.908625,0.8116992,0.6679435,0.8570812,-0.5363922
3,Patrick SearleVII,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.908625,0.8116992,0.7934316,0.8570812,-0.5363922
3,Patrick SearleVI,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.908625,0.8116992,0.6679435,0.8570812,-0.5363922
3,Patrick SearleIX,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.908625,0.8116992,0.7934316,0.8570812,-0.5363922
3,Patrick SearleIV,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.908625,0.8116992,0.6679435,0.8570812,-0.5363922
3,Patrick SearleV,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.06829894,0.8116992,0.6679435,0.8570812,-0.5363922
