Generation,TargetFitness,MaxFitness,MinFitness,AveFitness,SuccessfulAgents
1,107.3317,98.70628,1.482526,33.77038,4
2,107.3317,98.70628,21.47042,55.67007,9
3,107.3317,96.58434,3.498735,67.25309,13
4,107.3317,101.0465,5.555107,75.20359,15
5,107.3317,96.58434,4.668866,61.4371,10
6,107.3317,96.58434,6.709931,59.72525,10
7,107.3317,96.58434,10.39258,68.47601,14
8,107.3317,105.6123,6.159534,69.11303,14
9,107.3317,105.6123,12.46066,86.94788,18
10,107.3317,97.52515,9.115081,88.76972,19
11,107.3317,93.27477,85.88883,92.63001,20
12,107.3317,98.85821,3.509383,80.83205,17
13,107.3317,98.85821,29.07312,90.32299,19
14,107.3317,100.3608,4.537577,88.33224,19
15,107.3317,100.3608,12.25734,85.58486,18
16,107.3317,98.73016,15.50163,85.9462,18
17,107.3317,95.36971,19.5317,79.28456,16
18,107.3317,102.2828,92.35652,93.6549,20
19,107.3317,102.2828,92.35652,93.9365,20
20,107.3317,102.2828,92.35652,97.35011,20
21,107.3317,102.2828,7.924935,91.96574,19
22,107.3317,102.2828,6.72404,90.54378,19
23,107.3317,102.2828,9.535625,87.79485,18
24,107.3317,103.1671,93.27477,95.14909,20
25,107.3317,103.1671,93.27477,94.76295,20
